ordinal_position,oracle_name,canonical_alias,alias_basis,oracle_comment,semantic_guard
155,POCET_SN_EVID,serial_tracking_quantity,APPROVED_TRANSLATION,"Počet kusov (násobok), pre ktoré sa eviduje seriové číslo ak je vyžadovaná evidencia u danej karty. Default 1. Napr cigarety 10,teda 1 seriové číslo pre 10kusov(1balenie).",
156,TYP_SN,serial_number_type_id,APPROVED_TRANSLATION,Typ SN¤Typ evidencie SN (X-1740),
157,TYP_CIS,stock_card_type_id,APPROVED_TRANSLATION,Typ skladovej karty¤Typ skladovej karty (TYPY_CIS.ID),
158,NAK_JEDNOTKA,purchase_unit_id,APPROVED_TRANSLATION,Nákupná jednotka¤Nákupná jednotka (NAKUPNE_JEDNOTKY.ID),
159,KOEF_PREP_PAL,transport_pallet_coefficient,APPROVED_TRANSLATION,Koef. prep. palety¤Koeficient prepravnej palety (),
160,VELKE_BAL_NAZOV,large_pack_name,APPROVED_TRANSLATION,Názov veľkého balenia,
161,TYP_BODU_FAKT,invoicing_point_type_id,APPROVED_TRANSLATION,Typ bodu pri fakt.¤Typ bodu pri fakturácií (TYPY_BODOV.ID),
162,HMOTNOST_KS,usual_piece_weight,APPROVED_TRANSLATION,Obvyklá hmotnosť kusu pri vážených tovaroch,
163,PORADIE_PREDAJNOSTI_MO,retail_sales_rank,APPROVED_TRANSLATION,,
164,ZARUKA_ODR,cut_slice_shelf_life,APPROVED_TRANSLATION,Záruka odrezku/plátku¤Záruka odrezku/plátku (),
165,ZARUKA_OBD_ODR,cut_slice_shelf_life_mult,APPROVED_TRANSLATION,Násobok záruky odrezku/plátku¤Násobok záruky odrezku/plátku (),
166,MONTAZ_SKUPINA,assembly_group,TECHNICAL_NEUTRAL,,
167,EUDR1,eudr_1,TECHNICAL_NEUTRAL,,Regulatory acronym preserved; no business expansion asserted.
168,EUDR2,eudr_2,TECHNICAL_NEUTRAL,,Regulatory acronym preserved; no business expansion asserted.
169,VEK_HRANICA,age_limit,APPROVED_TRANSLATION,Veková hranica¤Veková hranica (),
